attendance,previous_marks,study_hours,exam_score
75,45,4,48.6
86,84,9,88.7
75,65,8,77.2
72,90,1,62.1
58,43,1,37.4
61,55,5,59.9
50,62,6,67.1
50,96,3,83.7
96,41,9,78.8
83,50,10,74.0
81,38,6,53.7
97,38,4,59.8
74,74,7,74.0
89,51,8,66.5
94,86,9,91.8
50,86,6,72.6
65,70,6,71.8
88,72,8,78.6
54,84,5,72.6
71,97,3,86.6
78,97,3,81.0
52,96,6,88.4
61,41,2,48.8
75,61,6,70.3
65,48,6,55.9
100,39,8,71.7
86,89,7,86.7
71,36,8,57.5
78,96,9,96.5
63,55,6,61.0
77,55,3,53.4
54,44,10,55.1
96,92,3,86.9
98,73,1,70.0
79,39,5,45.1
95,99,4,84.5
54,47,9,62.7
61,87,9,87.8
65,79,5,64.6
75,66,10,79.6
75,70,4,69.9
97,94,7,91.7
70,45,6,58.5
88,97,4,82.9
85,55,10,81.0
82,86,2,68.8
79,89,1,65.5
86,60,4,64.6
72,68,4,58.2
59,86,1,54.0
54,86,6,81.2
85,63,4,61.0
83,72,1,56.2
80,76,1,60.2
59,55,1,43.2
68,76,8,78.1
81,47,10,65.6
50,98,8,88.9
54,51,2,49.8
94,43,7,58.3
53,75,8,71.4
65,35,8,52.9
73,36,10,62.2
65,94,7,90.9
51,82,5,76.1
98,63,1,74.1
77,44,9,54.6
81,92,7,83.7
76,94,2,84.8
69,55,6,53.5
73,62,2,66.3
61,68,1,55.9
99,42,7,66.3
84,93,2,70.8
82,83,2,68.9
82,51,5,69.8
100,94,5,89.0
92,79,7,81.7
86,66,1,62.3
61,78,8,77.2
52,99,3,76.7
50,42,4,41.4
82,77,9,85.0
89,35,4,48.3
59,85,10,77.5
92,58,5,69.8
93,58,7,66.5
78,51,4,56.7
62,39,1,44.1
61,54,9,60.0
80,55,4,63.3
95,92,9,95.4
51,65,6,58.7
100,45,1,62.4
99,86,3,79.5
84,49,2,50.1
72,41,9,59.1
66,62,1,57.5
75,85,9,84.9
57,92,9,91.1
78,39,8,60.9
75,39,8,65.8
59,42,1,35.1
75,98,8,88.1
83,44,10,68.5
100,72,3,71.1
90,42,7,61.3
56,59,1,62.1
53,100,1,81.1
99,84,10,97.4
94,83,5,83.7
60,70,5,64.8
78,75,8,75.5
85,96,7,90.6
74,44,8,66.6
70,55,6,69.3
85,70,6,79.7
59,46,2,37.5
86,36,6,54.9
58,47,5,45.5
73,87,3,79.4
84,66,6,70.2
98,50,8,71.8
84,66,9,82.2
97,66,1,76.9
85,45,3,54.8
67,44,3,47.3
98,49,8,65.2
88,51,1,59.8
81,74,5,72.5
73,52,3,62.6
72,89,2,77.5
81,59,8,70.4
86,93,3,73.2
61,56,7,64.9
98,64,1,59.1
62,78,6,73.6
72,66,3,67.0
74,85,8,77.0
84,80,6,81.3
90,55,2,61.5
79,66,6,75.1
66,73,7,67.3
98,46,5,64.4
69,81,3,75.3
97,52,4,64.6
74,55,4,58.2
71,47,6,64.3
62,55,10,67.3
68,42,1,35.0
98,80,4,77.5
85,41,10,71.5
61,57,4,61.8
90,56,10,81.0
68,56,1,54.5
61,63,9,77.6
58,47,4,48.7
56,36,7,50.6
77,63,3,67.8
63,86,10,82.0
80,61,3,63.2
68,84,8,79.6
96,57,8,80.9
65,78,1,61.6
54,56,10,69.3
84,77,2,77.0
61,71,8,68.9
74,95,1,74.3
70,90,8,86.1
85,37,8,64.3
72,97,2,86.0
65,53,4,52.4
88,57,6,62.4
94,63,9,76.6
91,64,8,76.8
88,73,8,82.5
63,59,7,66.3
80,42,9,74.6
54,92,2,77.2
84,50,3,62.5
72,35,10,74.8
78,39,8,65.1
92,37,6,63.9
60,99,10,98.5
67,38,9,63.4
96,98,10,100.0
61,44,4,47.5
58,55,8,58.5
59,80,10,83.1
93,61,3,67.1
66,100,3,79.4
87,75,8,77.7
56,47,5,51.5
95,43,3,53.8
62,70,10,78.7
89,92,1,77.8
91,88,3,82.2
58,46,9,59.8
99,48,5,68.6
76,68,10,87.1
51,87,2,67.2
54,54,7,64.0
78,50,2,56.9
86,90,4,75.5
87,92,7,95.1
68,38,4,43.9
57,38,7,49.2
97,54,7,72.4
94,44,1,39.5
50,58,6,60.3
71,60,9,78.2
66,71,2,52.3
56,88,3,75.3
74,55,10,70.3
94,72,5,76.6
53,80,9,77.0
85,38,4,55.0
55,94,1,73.1
80,91,4,83.3
68,79,6,75.4
93,54,5,63.1
88,51,1,52.2
76,38,4,53.2
59,48,6,59.6
75,37,10,66.9
68,92,10,86.2
88,89,4,80.8
52,38,9,53.2
94,58,5,71.2
62,68,8,69.1
99,64,9,84.7
77,53,10,72.0
69,65,5,56.1
77,94,6,90.6
57,94,1,68.3
90,53,7,75.5
88,83,4,69.3
50,97,2,69.4
52,56,5,55.2
62,58,3,56.3
77,64,6,62.8
98,92,8,97.8
74,65,7,81.3
82,98,3,84.3
87,53,8,71.4
55,82,2,57.0
93,79,10,87.8
94,89,9,94.7
81,89,4,76.6
94,52,1,59.7
96,97,8,100.0
70,81,7,93.0
65,91,5,73.9
70,79,10,86.1
60,67,5,57.4
86,51,7,55.9
85,38,5,58.3
84,54,8,73.2
68,81,6,72.3
69,49,5,57.2
67,81,9,80.7
96,43,2,50.2
90,50,1,50.9
98,95,8,92.3
63,44,3,43.9
64,84,7,76.3
80,37,10,67.5
50,85,8,65.4
52,53,6,56.0
65,76,10,77.6
72,69,9,73.2
60,80,7,73.9
61,60,10,73.2
59,98,5,80.1
81,71,8,74.0
65,83,2,70.5
57,55,7,57.5
87,98,4,82.0
61,39,9,60.6
73,38,1,43.3
77,73,7,73.8
57,69,6,52.5
77,35,8,54.1
85,58,5,66.5
75,91,1,74.7
57,75,1,57.6
99,88,9,93.3
77,80,10,99.7
77,94,6,84.1
86,94,10,100.0
90,91,5,78.4
85,65,1,54.0
76,58,6,69.1
66,70,6,75.2
58,64,3,55.3
82,58,8,63.2
69,64,1,54.1
62,41,1,41.5
77,69,6,72.7
97,89,10,95.4
78,48,1,47.6
62,44,6,51.0
95,50,1,48.2
84,88,6,88.2
55,78,3,64.6
67,79,8,79.4
100,90,6,87.0
54,91,1,65.1
96,55,5,67.6
74,84,8,93.3
51,67,3,60.4
59,41,6,49.0
79,49,5,55.9
99,66,6,72.0
94,54,10,77.2
54,49,1,38.9
82,82,7,85.5
50,55,9,52.0
67,76,2,66.2
81,60,10,79.6
96,48,5,69.2
98,91,10,100.0
60,71,4,60.6
70,92,6,86.9
75,55,6,63.2
74,37,2,34.2
71,71,2,62.6
76,83,4,71.5
98,53,1,56.2
62,46,9,71.6
82,95,7,91.4
83,75,7,74.4
90,67,3,71.7
84,84,3,76.5
50,67,1,46.2
70,58,3,48.9
97,95,3,79.1
55,95,4,80.2
77,62,4,61.8
66,92,3,75.0
54,77,10,74.2
80,75,8,85.6
54,73,8,63.6
87,83,1,66.6
52,51,7,60.6
72,99,2,71.8
86,39,1,48.5
86,36,3,44.5
59,56,4,49.4
59,91,6,86.2
68,100,10,97.8
66,50,5,59.1
70,85,4,79.3
63,73,8,62.8
58,74,4,68.4
95,72,10,84.5
50,94,2,66.1
100,93,3,85.8
94,44,6,60.9
62,98,8,92.4
53,97,8,86.4
50,83,9,81.5
98,98,7,93.4
89,66,2,58.2
81,41,8,59.1
83,55,7,68.0
77,54,8,78.1
80,60,3,67.9
57,49,7,55.4
88,48,10,73.7
75,61,9,73.4
83,74,3,69.6
52,92,10,89.9
99,62,6,76.5
61,60,2,38.7
50,97,2,72.7
93,100,5,88.8
54,59,5,54.9
79,37,7,61.6
79,78,2,75.0
66,76,7,79.2
97,40,5,56.2
96,73,6,73.8
72,86,8,70.3
64,57,10,73.3
86,84,4,80.6
70,77,7,76.8
63,53,6,64.6
51,85,10,77.9
60,45,2,43.9
100,46,8,69.0
88,42,10,69.5
87,58,9,82.0
83,75,5,74.0
87,70,10,83.8
99,89,4,79.0
83,43,6,66.0
67,81,8,74.1
79,49,3,51.4
64,82,10,94.6
76,76,1,65.6
100,94,4,86.6
83,46,4,56.2
87,36,1,39.3
82,41,9,65.2
73,37,3,44.4
64,37,5,49.7
79,61,6,60.8
91,74,8,85.4
100,67,6,81.9
66,35,3,42.2
54,42,6,54.8
78,66,1,59.9
53,82,4,65.3
59,38,6,45.4
66,53,7,58.6
59,66,10,77.5
66,43,3,47.4
69,46,9,71.4
73,45,7,64.5
54,80,1,63.9
83,50,2,54.6
55,35,1,30.7
51,97,9,90.2
62,55,9,68.6
92,64,7,70.0
92,47,10,79.9
97,68,3,74.7
60,38,5,42.7
100,62,4,65.9
96,93,7,89.9
72,61,9,77.1
65,59,2,56.2
80,37,8,60.6
60,59,9,71.3
65,54,10,64.5
57,68,10,78.6
53,60,9,68.2
89,39,10,65.3
53,95,7,75.3
74,43,9,64.8
52,84,9,83.5
81,40,3,41.2
52,94,4,74.8
76,78,2,67.5
78,45,10,66.5
81,100,3,84.6
99,81,5,81.1
100,37,5,59.3
68,64,6,69.9
70,55,7,67.9
54,62,7,70.2
67,96,1,73.7
77,67,2,58.7
91,69,9,80.0
71,86,10,84.7
70,68,2,60.7
55,75,6,76.6
50,85,1,60.0
54,81,3,67.8
90,92,2,74.3
61,91,3,73.8
75,57,5,68.9
95,82,10,97.3
83,56,6,58.7
98,51,9,77.9
63,45,10,68.6
75,49,4,56.6
94,69,7,82.3
76,67,6,66.7
58,50,2,47.3
75,68,10,86.7
96,100,8,100.0
71,74,7,78.7
96,62,7,71.2
79,81,8,79.1
92,73,1,66.2
97,54,1,57.4
66,35,8,55.2
75,97,4,78.1
85,38,5,56.8
50,92,8,83.7
57,59,5,60.6
98,81,10,97.0
84,72,4,69.2
64,49,6,55.5
96,97,5,95.4
71,55,7,61.7
63,91,10,88.5
75,87,7,90.3
77,80,4,70.5
72,48,5,56.4
63,51,3,49.2
73,73,4,59.5
51,43,4,45.8
94,40,3,47.9
75,57,10,76.4
63,93,5,84.9
100,80,5,70.4
56,72,7,69.1
52,48,4,51.7
96,96,4,75.9
72,69,9,85.1
95,53,6,69.8
92,64,4,73.6
96,59,2,58.6
94,74,6,77.0
67,48,2,47.3
87,60,5,77.9
84,56,6,73.4
100,82,4,80.8
64,85,3,71.5
74,37,7,59.5
86,76,2,80.3
77,53,6,65.3
59,62,4,59.1
88,79,6,78.8
66,97,4,81.0
88,53,4,58.2
71,81,4,74.8
75,48,9,60.5
93,72,7,79.0
74,87,3,77.5
66,95,3,78.1
62,70,6,66.7
69,74,6,71.8
74,64,4,68.9
53,43,9,53.3
59,98,4,72.6
52,67,9,67.7
90,86,4,79.7
94,48,2,48.1
67,87,2,74.4
96,93,5,83.0
85,75,4,73.6
96,42,7,61.7
71,36,5,49.7
83,75,6,69.0
96,89,10,100.0
57,50,4,46.9
89,96,2,74.7
98,82,10,100.0
93,64,9,83.7
68,46,10,72.1
91,69,7,80.5
90,45,4,55.0
86,98,3,76.4
55,84,10,83.5
75,55,3,51.6
83,82,9,83.8
94,54,5,57.8
55,78,3,64.7
86,67,5,78.7
82,95,2,80.5
71,43,4,50.9
70,69,10,80.2
55,99,2,58.0
55,42,2,39.7
97,79,8,80.6
53,81,1,61.0
79,74,7,76.7
60,88,5,71.6
79,80,8,84.3
80,81,1,67.6
73,49,7,70.3
58,53,5,59.6
52,60,4,57.1
100,86,7,85.1
80,56,10,70.4
89,55,2,60.5
86,85,1,69.7
85,72,1,64.6
73,54,1,55.3
80,63,5,59.6
55,85,10,92.5
51,38,7,56.0
69,89,2,60.9
77,62,10,90.1
60,38,8,57.5
53,56,4,51.7
64,79,3,69.5
55,100,10,88.9
98,68,8,84.6
79,89,2,69.7
87,35,3,58.6
100,72,3,72.4
51,40,10,63.0
64,59,1,47.0
60,51,6,62.1
57,95,2,71.4
75,46,1,39.5
100,40,2,50.8
94,61,6,81.7
93,42,4,60.6
54,99,6,81.1
55,91,9,77.0
75,74,10,80.3
53,48,10,57.6
68,69,8,65.7
69,82,1,68.8
82,90,8,90.3
69,83,9,94.4
98,47,6,60.4
61,95,10,92.5
96,83,5,75.2
50,80,6,68.5
75,96,6,85.4
63,42,9,59.5
87,77,4,74.4
86,54,2,61.1
60,73,9,82.0
85,83,2,68.1
62,98,10,94.2
92,96,9,100.0
52,88,2,71.6
82,43,8,60.8
55,71,9,78.8
99,83,10,97.1
59,75,9,73.2
54,51,10,70.6
72,55,9,71.5
59,85,2,57.8
93,93,4,82.9
51,73,7,70.6
62,89,2,66.4
89,75,1,72.1
51,73,3,66.7
69,47,4,51.2
50,98,8,83.9
86,45,6,60.6
58,53,2,47.6
66,45,9,60.8
58,80,2,45.0
60,79,5,79.7
64,35,4,45.3
73,74,7,75.6
87,53,8,72.5
84,95,5,85.3
79,46,10,67.9
80,95,5,79.7
98,67,2,57.2
54,79,8,70.2
93,42,2,45.8
99,59,10,85.5
63,80,6,78.4
60,64,8,65.8
58,81,6,60.7
83,83,4,76.4
61,81,4,67.7
84,52,6,62.4
84,100,4,90.8
50,67,8,70.0
89,70,9,78.4
71,53,1,43.4
78,62,4,62.3
57,74,4,60.4
60,49,2,46.6
90,75,6,83.9
86,73,3,62.3
63,36,7,53.5
79,97,5,90.2
84,63,4,65.2
70,100,5,88.6
86,85,8,86.8
54,44,3,46.1
68,48,7,63.1
63,85,6,74.6
75,73,1,71.4
53,62,7,67.7
74,37,7,62.9
94,61,1,64.9
91,36,9,66.7
74,72,6,80.0
67,37,2,43.0
89,50,5,58.6
57,74,4,65.0
88,36,7,54.3
89,75,8,73.0
63,46,1,39.3
81,69,5,71.1
100,99,3,92.3
87,89,1,68.9
82,79,3,76.5
72,96,6,79.7
64,83,7,74.6
82,59,8,80.2
74,57,4,60.1
66,58,3,55.0
82,72,5,73.8
96,62,9,74.6
51,55,6,56.3
63,88,9,86.7
89,52,6,72.0
89,70,2,57.4
100,79,5,89.8
88,87,9,91.7
100,64,8,74.6
55,94,7,76.5
55,66,1,53.9
52,62,4,50.4
56,78,7,71.6
100,75,7,82.5
57,97,6,88.3
91,57,8,79.2
64,82,6,72.9
96,66,10,84.2
78,91,3,69.1
82,67,4,57.2
79,58,3,53.0
88,73,1,70.3
76,68,10,85.3
85,90,5,85.2
78,62,1,48.8
87,71,1,59.7
82,41,2,43.8
86,71,4,69.7
76,90,6,82.4
82,99,8,89.9
53,99,3,76.9
71,81,1,65.9
51,54,3,46.3
59,53,3,52.9
54,63,5,66.3
59,94,4,83.6
82,52,4,61.6
87,69,9,84.5
62,77,7,74.1
80,45,4,59.9
96,83,3,71.8
85,72,6,80.4
94,98,3,83.5
73,42,6,63.8
64,68,9,78.8
78,82,6,79.3
57,90,4,72.6
54,99,5,83.1
78,65,6,72.6
96,38,3,50.4
53,84,8,79.9
61,64,4,64.9
94,93,8,87.8
51,79,10,84.8
76,38,10,67.5
80,60,3,66.4
100,61,10,80.0
100,80,7,86.5
85,98,9,98.7
85,85,4,81.7
75,84,8,87.1
92,40,3,46.3
76,93,7,89.1
54,49,3,58.0
69,64,7,73.0
60,76,10,90.0
59,71,10,84.0
89,76,6,85.9
87,69,2,66.2
55,40,3,45.9
57,52,6,59.1
72,63,4,62.7
96,93,6,93.9
75,81,1,63.2
95,51,10,86.2
92,56,1,51.7
61,71,3,65.9
75,83,8,91.3
62,47,8,60.5
89,68,4,64.1
67,87,6,85.4
74,85,8,86.3
82,37,7,62.4
96,76,7,82.8
89,66,4,77.2
92,85,9,81.7
61,80,10,86.1
93,55,6,75.2
85,78,3,72.2
97,45,5,63.0
53,35,5,42.8
54,97,5,79.5
86,58,8,65.0
57,47,9,59.0
91,45,9,66.1
98,85,6,89.6
77,51,6,59.4
80,58,9,71.7
58,53,4,51.8
100,71,6,75.3
78,42,4,53.9
63,62,1,54.2
89,39,7,65.3
90,51,10,78.8
71,70,6,74.0
60,53,9,65.0
72,98,7,87.4
50,45,7,50.4
95,88,2,72.7
86,79,9,88.4
70,81,10,83.5
75,46,9,73.9
95,55,6,68.8
85,45,3,61.0
72,39,1,44.8
50,90,4,68.1
100,54,3,61.9
89,75,1,57.6
64,80,3,68.5
70,46,4,49.4
96,51,8,66.5
58,53,9,73.8
58,60,3,60.2
59,82,6,79.9
75,86,10,95.0
90,89,5,77.8
84,67,6,70.8
74,96,4,79.6
75,57,10,66.6
60,49,6,54.2
87,61,7,70.1
51,98,9,89.8
56,85,10,98.4
67,87,7,82.0
76,85,6,81.4
83,81,1,66.5
76,38,2,48.6
66,41,1,36.2
92,69,9,92.9
93,82,10,92.7
100,79,10,91.5
73,53,9,74.8
74,97,7,84.9
56,72,2,62.2
55,93,6,86.9
73,47,4,52.9
82,81,1,77.8
98,95,1,82.5
78,65,5,71.0
92,56,2,65.6
71,77,4,78.3
75,88,1,71.0
77,44,4,57.4
99,76,6,88.5
70,98,10,90.6
98,55,4,56.1
56,100,1,71.2
66,75,7,66.5
69,58,2,52.6
90,69,9,84.5
98,90,3,80.1
69,64,8,71.7
71,91,8,82.8
77,81,3,75.2
89,69,4,64.9
98,53,2,48.1
56,42,4,46.1
50,60,9,72.6
81,64,2,60.8
62,41,3,39.7
79,99,4,84.7
72,70,5,71.2
100,59,1,60.4
68,71,7,72.2
81,35,10,66.9
79,49,7,55.5
78,71,9,76.6
98,47,4,53.8
94,42,6,68.3
78,39,2,49.5
79,94,4,82.4
65,35,2,33.2
89,70,10,89.5
68,69,5,74.4
67,100,7,92.1
50,97,1,68.2
63,57,10,75.3
100,43,10,75.0
96,68,7,83.5
99,80,10,98.3
51,38,6,47.5
77,64,6,66.1
98,37,8,62.9
99,48,8,73.8
79,94,6,84.8
87,79,3,68.9
100,68,5,74.9
53,79,2,67.2
50,95,5,77.9
57,50,9,62.9
78,100,10,100.0
88,74,1,65.6
52,51,10,56.4
81,68,5,73.6
59,50,6,59.3
59,94,7,84.0
68,100,9,99.8
95,100,6,99.8
83,47,5,63.1
82,90,7,83.2
72,65,1,52.2
77,68,5,74.7
81,73,2,56.0
99,42,4,57.1
56,89,7,82.6
78,61,5,56.8
57,87,6,78.3
50,73,2,62.4
52,99,3,67.5
73,51,7,72.1
72,64,2,53.2
57,87,6,80.0
96,47,5,61.9
86,55,10,77.1
52,53,1,38.2
100,87,10,100.0
82,53,4,61.3
77,91,2,82.4
96,59,4,60.2
57,65,1,51.6
83,89,2,75.7
84,57,8,72.7
81,66,6,74.9
73,96,2,75.1
63,44,6,65.6
81,88,10,93.8
95,86,9,79.1
92,54,7,70.6
